1,1321
2,57
3,154
4,285
5,110
6,30
7,137
8,204
9,584
10,81
11,49
12,43
13,6
14,383
15,331
16,133
17,162
18,192
19,258
20,398
21,37
22,217
23,437
24,569
25,37
26,15
27,58
28,251
29,4
30,176
31,286
32,22
33,96
34,137
35,27
36,174
37,170
38,170
39,55
40,420
41,41
42,301
43,473
44,564
45,77
46,234
47,1065
48,328
49,171
50,344
51,1248
52,398
53,88
54,91
55,168
56,14
57,649
58,218
59,139
60,195
61,743
62,197
63,132
64,262
65,36
66,179
67,197
68,338
69,105
70,63
71,110
72,183
73,68
74,61
75,103
76,258
77,216
78,965
79,373
80,62
81,17
82,740
83,381
84,75
85,437
86,89
87,79
88,442
89,110
90,262
91,281
92,73
93,320
94,165
95,80
96,53
97,276
98,145
99,105
100,42
101,492
102,151
103,46
104,403
105,185
106,597
107,448
108,483
109,71
110,71
111,183
112,164
113,166
114,302
115,72
116,676
117,286
118,75
119,231
120,301
121,82
122,122
123,168
124,84
125,256
126,393
127,543
128,49
129,74
130,145
131,495
132,248
133,136
134,135
135,580
136,201
137,146
138,430
139,340
140,79
141,502
142,220
143,368
144,9
145,319
146,42
147,110
148,98
